Name,Position,Price number,Points total
M. Salah,FWD,7.2,243
E. Haaland,FWD,8.5,170
B. Fernandes,MID,6.4,169
A. Isak,FWD,5.1,167
C. Wood,FWD,3.5,158
C. Palmer,MID,5.8,153
O. Watkins,FWD,5.7,150
B. Mbeumo,FWD,3.9,150
J. Kluivert,MID,2.7,142
T. Alexander-Arnold,DEF,5.2,141
M. Sels,GK,3.2,139
D. Muñoz,DEF,2.7,137
D. Raya,GK,4.3,135
M. Cunha,FWD,3.6,135
J. Pickford,GK,3.7,132
A. Onana,GK,4.1,125
Y. Wissa,FWD,3.3,124
K. Mitoma,MID,3.6,124
D. Henderson,GK,2.8,122
G. Magalhães,DEF,4.3,122
M. Damsgaard,MID,3.7,122
N. Milenkovic,DEF,2.7,120
J. Mateta,FWD,4.1,120
A. Iwobi,MID,3.5,119
J. Bowen,MID,5.3,119
D. Kulusevski,MID,4.8,118
A. Semenyo,FWD,2.8,117
H. Son,FWD,6.4,115
R. Jiménez,FWD,3.8,115
O. Aina,DEF,2.4,115
M. Rogers,FWD,2.9,115
M. Flekken,GK,2.9,114
B. Guimarães,MID,3.9,114
J. Gomes,MID,2.9,114
V. van Dijk,DEF,5.1,113
L. Díaz,FWD,5.1,113
I. Gueye,MID,3.1,112
J. Maddison,MID,5.2,112
M. Gibbs-White,MID,3.4,112
W. Saliba,DEF,4.5,112
G. Rutter,FWD,3.5,111
B. Leno,GK,3.4,109
M. Guéhi,DEF,3.3,109
B. Johnson,FWD,3.6,109
M. Kerkez,DEF,2.5,107
Y. Tielemans,MID,4.2,106
A. Gordon,MID,4.7,106
A. Mac Allister,MID,4.2,106
D. Szoboszlai,MID,4,106
J. Timber,DEF,4,106
A. Elanga,FWD,3.5,106
L. Delap,FWD,2.5,105
J. Vardy,FWD,3.4,104
J. Pedro,FWD,3.3,103
M. Caicedo,MID,3.6,103
K. Schade,MID,2.7,103
N. Jackson,FWD,4,103
T. Partey,MID,3.4,102
T. Mitchell,DEF,3.1,102
J. Strand Larsen,FWD,2.8,102
A. Becker,GK,4.5,101
D. Ouattara,FWD,3.1,101
E. Fernández,MID,4.1,100
E. Martínez,GK,3.9,99
K. Arrizabalaga,GK,3.2,99
J. Murphy,MID,2.9,99
M. Lacroix,DEF,2.8,99
I. Ndiaye,MID,2.9,99
P. Foden,MID,5.4,97
E. Anderson,MID,2.8,97
I. Sarr,FWD,3.5,97
J. Gvardiol,DEF,4.5,97
C. Nørgaard,MID,3.2,96
T. Soucek,MID,3.6,96
L. Hall,DEF,2.7,96
L. Cook,MID,2.8,95
E. Eze,MID,3.9,95
Murillo,DEF,2.3,95
R. Sánchez,GK,3.4,94
B. Saka,MID,5.8,94
D. Welbeck,FWD,3.4,93
A. Robinson,DEF,2.7,93
I. Konaté,DEF,3.9,93
K. Havertz,FWD,5.1,93
L. Paquetá,MID,4,93
J. Tarkowski,DEF,3.1,92
P. Porro,DEF,3.8,92
V. Mykolenko,DEF,2.9,91
B. Verbruggen,GK,3,91
M. Cucurella,DEF,3.4,90
N. Williams,DEF,2.5,90
C. Gakpo,FWD,5.3,90
R. Muniz,FWD,3.4,90
A. Diallo,FWD,3,90
L. Trossard,MID,4.4,89
D. Solanke,FWD,4.4,88
C. Hudson-Odoi,MID,3.1,88
E. Smith Rowe,MID,3,88
.. Evanilson,FWD,3.8,88
M. Fernandes,MID,3,88
Ederson,GK,4.6,87
R. Christie,MID,3.1,87
N. Madueke,FWD,3.6,87
M. Kovacic,MID,4,86
.. Savinho,MID,4,86
A. Robertson,DEF,5,85
B. Silva,MID,5.1,85
M. Tavernier,MID,2.8,85
D. Dalot,DEF,3.3,85
G. Martinelli,MID,4.9,85
J. van Hecke,DEF,2.8,85
Joelinton,MID,3.5,84
J. Bellegarde,MID,2.6,84
N. Collins,DEF,2.7,84
F. Buonanotte,MID,3.1,84
A. Young,DEF,2.5,83
D. Rice,MID,4.6,83
C. Baleba,MID,2.5,83
K. De Bruyne,MID,6.7,82
N. Mazraoui,DEF,3.7,82
Y. Minteh,FWD,2.9,82
A. Pereira,MID,3,81
J. Branthwaite,DEF,3,81
J. Aribo,MID,2.8,80
A. Garnacho,FWD,3.8,80
W. Hughes,MID,2.9,77
J. Doku,FWD,4.4,77
R. Gravenberch,MID,3.4,77
R. Aït-Nouri,DEF,2.9,77
B. El Khannouss,MID,2.6,77
A. Traoré,FWD,3.6,76
T. Adams,MID,2.5,76
R. Yates,MID,2.4,76
C. Richards,DEF,2.5,76
J. Clarke,MID,2.6,76
M. Kudus,MID,4.4,76
I. Zabarnyi,DEF,2.6,76
P. Sarr,MID,2.9,76
T. Dibling,MID,2.1,76
M. de Ligt,DEF,3.9,75
L. Digne,DEF,3.4,74
J. Sá,GK,3.5,74
W. Ndidi,MID,3.2,74
C. Bassey,DEF,2.8,74
T. Livramento,DEF,2.9,74
F. Schär,DEF,3.7,73
D. Jota,FWD,5.3,73
A. Wan-Bissaka,DEF,3.9,73
N. Pope,GK,4,72
A. Doucouré,MID,3.5,72
V. Janelt,MID,3.3,72
C. Jones,MID,3.5,72
D. Burn,DEF,3.6,71
L. Colwill,DEF,3.1,71
.. André,MID,2.8,71
D. Huijsen,DEF,2.4,71
N. Semedo,DEF,3.2,70
K. Lewis-Potter,FWD,2.6,70
T. Adarabioyo,DEF,3.2,69
M. Rashford,FWD,5.7,69
M. Merino,MID,4.5,69
S. Tonali,MID,3.7,69
J. Zirkzee,FWD,4.7,69
R. Lewis,DEF,3.5,69
O. Hutchinson,FWD,3,69
J. Veltman,DEF,3.2,68
M. Lemina,MID,3,68
G. Vicario,GK,3.3,68
S. Mavididi,FWD,3.1,67
J. Sancho,MID,4.5,67
H. Barnes,MID,4.4,66
J. Ramsey,MID,3.4,66
P. Neto,FWD,3.5,66
Beto,FWD,3.7,66
R. Højlund,FWD,4.8,66
S. Morsy,MID,2.4,65
E. Konsa,DEF,3.3,65
A. Ramsdale,GK,4,65
M. Hermansen,GK,2.6,65
Casemiro,MID,3.8,64
M. Ødegaard,MID,5.3,64
S. Lukic,MID,2.6,64
J. Harrison,MID,3.8,64
L. Martínez,DEF,3.8,64
D. Núñez,FWD,6.1,64
J. McGinn,MID,3.7,63
M. Ugarte,MID,4,63
N. Domínguez,MID,3.2,63
I. Gündogan,MID,5,62
A. Muric,GK,2.5,62
Y. Ayari,MID,2.5,62
T. Chalobah,DEF,3.2,61
S. Berge,MID,2.7,61
J. Lindstrøm,MID,3.2,61
Emerson,DEF,2.4,60
D. Calvert-Lewin,FWD,4.9,60
M. Kilman,DEF,3.1,60
G. Guedes,FWD,3.5,59
C. Nkunku,FWD,5.6,59
Y. Bissouma,MID,3,59
A. Areola,GK,3.3,58
H. Wilson,MID,2.9,58
A. Onana,MID,3.1,58
T. Gomes,DEF,2.6,58
J. Ayew,FWD,3.7,57
J. Cajuste,MID,2.5,57
P. Estupiñán,DEF,3.4,56
D. McNeil,MID,3.4,56
D. Brooks,MID,2.3,55
S. Szmodics,FWD,2.9,55
J. Willock,MID,3.3,55
L. Bailey,MID,4,55
.. Morato,DEF,2.8,55
J. Hinshelwood,MID,2.1,55
M. Dúbravka,GK,2.8,54
M. Doherty,DEF,3.1,54
T. Castagne,DEF,3.3,54
M. Nunes,MID,3.5,54
J. Durán,FWD,3,53
E. Álvarez,MID,3.5,52
K. Tsimikas,DEF,3,52
H. Winks,MID,2.6,51
R. Bentancur,MID,3.5,51
J. Justin,DEF,2.6,51
S. Bueno,DEF,2.6,51
B. De Cordova-Reid,FWD,3.2,50
J. Lerma,MID,3,50
R. Dias,DEF,5.2,50
C. Kelleher,GK,3.1,50
M. Akanji,DEF,4.5,50
D. Udogie,DEF,3.1,50
H. Maguire,DEF,3.2,49
K. Phillips,MID,3.1,49
A. Armstrong,FWD,3,49
B. Kamara,MID,3,49
M. Gusto,DEF,3.3,49
J. Silva,FWD,3,49
L. Fabianski,GK,2.8,48
G. Hirst,FWD,2.4,48
B. Soumaré,MID,2.5,48
K. Sulemana,MID,2.3,48
J. Andersen,DEF,3,47
S. Longstaff,MID,2.8,47
F. Downes,MID,2.6,47
C. Archer,FWD,2.9,47
R. Calafiori,DEF,4.2,47
L. Ugochukwu,MID,2.2,47
L. Bergvall,MID,3.1,47
K. Trippier,DEF,4,46
J. Grealish,MID,4.7,46
M. Cash,DEF,3.5,46
K. Mainoo,MID,3.8,46
D. Kamada,MID,3,45
D. Spence,DEF,3,45
Á. Moreno,DEF,2.9,44
J. Bednarek,DEF,2.3,44
J. Philogene,MID,3.4,44
R. Gomes,MID,3.1,44
E. Nwaneri,MID,2.8,44
J. O'Brien,DEF,2.8,44
P. Onuachu,FWD,2.1,43
O. Mangala,MID,3.3,43
H. Hwang,FWD,3.4,43
E. Nketiah,FWD,4,43
E. Pinnock,DEF,2.8,43
G. Rodríguez,MID,3.4,42
G. Jesus,FWD,6,42
S. van den Berg,DEF,2.4,42
J. Todibo,DEF,3.1,42
M. Antonio,FWD,4.4,41
A. Webster,DEF,3.1,41
C. Soler,MID,3.8,41
F. Carvalho,MID,3.3,41
R. Barkley,MID,3.2,40
T. Awoniyi,FWD,2.7,40
A. Disasi,DEF,3.8,40
J. McAtee,MID,2.5,40
I. Maatsen,DEF,3,40
A. Gray,MID,3.2,40
L. Dunk,DEF,3.5,39
K. Tete,DEF,2.6,39
J. Taylor,MID,2.3,39
A. Wharton,MID,3,39
S. Adingra,FWD,3.1,39
I. Diop,DEF,3,38
C. Romero,DEF,3.5,38
M. Roerslev,DEF,2.6,38
T. Lamptey,DEF,3,38
K. Mavropanos,DEF,2.8,38
T. Harwood-Bellis,DEF,2.3,38
O. Marmoush,FWD,4.9,38
L. Davis,DEF,2.5,38
Y. Yarmoliuk,MID,2.2,38
C. Summerville,FWD,3.9,37
M. Wieffer,MID,3.2,37
P. Sarabia,MID,3.4,36
J. Félix,FWD,5.1,36
R. Sosa,FWD,3.1,36
W. Faes,DEF,2.8,35
W. Fofana,DEF,3.5,35
M. Keane,DEF,2.8,34
W. Burns,FWD,2.6,34
K. Walker-Peters,DEF,2.6,34
B. White,DEF,4.6,34
J. Devenny,MID,2.3,34
S. Ortega,GK,3.8,33
T. Werner,FWD,4.8,33
S. Johnstone,GK,2.9,32
C. Chaplin,FWD,2.7,32
T. Doyle,MID,2.5,32
J. Garner,MID,2.9,32
P. Torres,DEF,3.4,32
